block_date,user_count
08/15/23,2666
08/14/23,2733
08/13/23,2380
08/12/23,2283
08/11/23,2623
08/10/23,2266
08/09/23,2469
08/08/23,2432
08/07/23,2955
08/06/23,3723
08/05/23,3548
08/04/23,3182
08/03/23,2751
08/02/23,2928
08/01/23,2800
07/31/23,2698
07/30/23,2467
07/29/23,2847
07/28/23,2693
07/27/23,2299
07/26/23,2472
07/25/23,3481
07/24/23,2969
07/23/23,2525
07/22/23,2156
07/21/23,2375
07/20/23,1855
07/19/23,2600
07/18/23,2398
07/17/23,2598
07/16/23,2320
07/15/23,2394
07/14/23,2123
07/13/23,1832
07/12/23,2650
07/11/23,2548
07/10/23,3425
07/09/23,3025
07/08/23,2360
07/07/23,2113
07/06/23,1856
07/05/23,2301
07/04/23,2125
07/03/23,2149
07/02/23,2435
07/01/23,4172
06/30/23,2198
06/29/23,1933
06/28/23,1783
06/27/23,1772
06/26/23,1871
06/25/23,2087
06/24/23,1931
06/23/23,2840
06/22/23,2082
06/21/23,2126
06/20/23,2107
06/19/23,1679
06/18/23,1745
06/17/23,1764
06/16/23,1977
06/15/23,1999
06/14/23,2118
06/13/23,1672
06/12/23,1314
06/11/23,1845
06/10/23,1782
06/09/23,1502
06/08/23,1409
06/07/23,1203
06/06/23,2211
06/05/23,1873
06/04/23,3001
06/03/23,2741
06/02/23,2164
06/01/23,1580
05/31/23,1866
05/30/23,1690
05/29/23,1493
05/28/23,1668
05/27/23,1469
05/26/23,1558
05/25/23,832
05/24/23,1175
05/23/23,1506
05/22/23,1697
05/21/23,1961
05/20/23,1486
05/19/23,1383
05/18/23,1273
05/17/23,1120
05/16/23,1261
05/15/23,1246
05/14/23,1310
05/13/23,1459
05/12/23,1662
05/11/23,1385
05/10/23,1311
05/09/23,2286
05/08/23,1432
05/07/23,1731
05/06/23,1145
05/05/23,1115
05/04/23,938
05/03/23,674
05/02/23,947
05/01/23,914
04/30/23,904
04/29/23,1431
04/28/23,1294
04/27/23,758
04/26/23,801
04/25/23,803
04/24/23,797
04/23/23,1060
04/22/23,897
04/21/23,1105
04/20/23,1350
04/19/23,1350
04/18/23,1363
04/17/23,955
04/16/23,1098
04/15/23,755
04/14/23,1127
04/13/23,883
04/12/23,997
04/11/23,720
04/10/23,1009
04/09/23,920
04/08/23,1018
04/07/23,1450
04/06/23,995
04/05/23,1429
04/04/23,1094
04/03/23,974
04/02/23,1042
04/01/23,906
03/31/23,1104
03/30/23,978
03/29/23,937
03/28/23,847
03/27/23,969
03/26/23,1091
03/25/23,991
03/24/23,1206
03/23/23,1381
03/22/23,1580
03/21/23,1636
03/20/23,1008
03/19/23,927
03/18/23,1139
03/17/23,1295
03/16/23,1467
03/15/23,1269
03/14/23,1243
03/13/23,1057
03/12/23,1098
03/11/23,1097
03/10/23,1067
03/09/23,878
03/08/23,1267
03/07/23,1386
03/06/23,1531
03/05/23,1393
03/04/23,1588
03/03/23,919
03/02/23,1403
03/01/23,1314
02/28/23,1133
02/27/23,1329
02/26/23,1350
02/25/23,1746
02/24/23,1515
02/23/23,1461
02/22/23,1553
02/21/23,1929
02/20/23,1878
02/19/23,1844
02/18/23,1495
02/17/23,1552
02/16/23,1654
02/15/23,1327
02/14/23,1177
02/13/23,1467
02/12/23,1204
02/11/23,1139
02/10/23,1859
02/09/23,1098
02/08/23,665
02/07/23,938
02/06/23,1125
02/05/23,744
02/04/23,2145
02/03/23,1327
02/02/23,1115
02/01/23,1001
01/31/23,1030
01/30/23,950
01/29/23,881
01/28/23,1499
01/27/23,1293
01/26/23,1318
01/25/23,964
01/24/23,813
01/23/23,746
01/22/23,796
01/21/23,753
01/20/23,1053
01/19/23,1205
01/18/23,909
01/17/23,709
01/16/23,886
01/15/23,946
01/14/23,926
01/13/23,922
01/12/23,942
01/11/23,940
01/10/23,1200
01/09/23,929
01/08/23,1366
01/07/23,971
01/06/23,1148
01/05/23,948
01/04/23,1410
01/03/23,1276
01/02/23,1091
01/01/23,1176
12/31/22,1169
12/30/22,1020
12/29/22,968
12/28/22,921
12/27/22,944
12/26/22,891
12/25/22,1205
12/24/22,1110
12/23/22,1059
12/22/22,1081
12/21/22,1281
12/20/22,1269
12/19/22,1231
12/18/22,1024
12/17/22,1051
12/16/22,1079
12/15/22,1399
12/14/22,2291
12/13/22,1782
12/12/22,1396
12/11/22,1081
12/10/22,1570
12/09/22,1062
12/08/22,1032
12/07/22,1276
12/06/22,1254
12/05/22,1232
12/04/22,1656
12/03/22,1406
12/02/22,1515
12/01/22,1082
11/30/22,901
11/29/22,1191
11/28/22,1537
11/27/22,1351
11/26/22,1470
11/25/22,1883
11/24/22,1867
11/23/22,2425
11/22/22,1631
11/21/22,1249
11/20/22,1170
11/19/22,1171
11/18/22,1106
11/17/22,1107
11/16/22,1343
11/15/22,2304
11/14/22,4001
11/13/22,1211
11/12/22,990
11/11/22,743
11/10/22,890
11/09/22,862
11/08/22,1098
11/07/22,654
11/06/22,1293
11/05/22,715
11/04/22,908
11/03/22,744
11/02/22,638
11/01/22,740
10/31/22,727
10/30/22,1157
10/29/22,851
10/28/22,907
10/27/22,682
10/26/22,709
10/25/22,976
10/24/22,619
10/23/22,831
10/22/22,1144
10/21/22,1048
10/20/22,545
10/19/22,452
10/18/22,639
10/17/22,618
10/16/22,1248
10/15/22,2068
10/14/22,1334
10/13/22,1494
10/12/22,1190
10/11/22,1293
10/10/22,955
10/09/22,1287
10/08/22,1219
10/07/22,1419
10/06/22,1677
10/05/22,1155
10/04/22,1172
10/03/22,1200
10/02/22,1625
10/01/22,1321
09/30/22,1366
09/29/22,1116
09/28/22,913
09/27/22,1056
09/26/22,917
09/25/22,1193
09/24/22,1510
09/23/22,1306
09/22/22,1570
09/21/22,1721
09/20/22,791
09/19/22,1440
09/18/22,1893
09/17/22,1681
09/16/22,1849
09/15/22,1931
09/14/22,2276
09/13/22,1611
09/12/22,1461
09/11/22,2023
09/10/22,2029
09/09/22,1421
09/08/22,1304
09/07/22,1323
09/06/22,1390
09/05/22,1312
09/04/22,811
09/03/22,1346
09/02/22,2227
09/01/22,1993
08/31/22,1972
08/30/22,2428
08/29/22,2593
08/28/22,2559
08/27/22,2306
