Date,TVL
31/01/2024,34042789.19
01/02/2024,37518327.25
02/02/2024,40753476.25
03/02/2024,43580246.34
04/02/2024,42107473.03
05/02/2024,42559104.44
06/02/2024,43580060.09
07/02/2024,42636530.63
08/02/2024,45802652.36
09/02/2024,46074750.59
10/02/2024,49547502.49
11/02/2024,49442250.19
12/02/2024,50546975.46
13/02/2024,55371901.4
14/02/2024,52210177.18
15/02/2024,54667745.45
16/02/2024,52549212.17
17/02/2024,54380517.79
18/02/2024,58437600.83
19/02/2024,61848677.17
20/02/2024,59785970.67
21/02/2024,58173510.93
22/02/2024,56658877.46
23/02/2024,56005794.85
24/02/2024,53664164.39
25/02/2024,56335283.64
26/02/2024,59036386.49
27/02/2024,60367009.92
28/02/2024,63985853.12
29/02/2024,69072782.8
01/03/2024,64376946.56
02/03/2024,70444866.77
03/03/2024,66286256.87
04/03/2024,62766505.59
05/03/2024,62299408.36
06/03/2024,57345344.23
07/03/2024,58714109.61
08/03/2024,64141016.85
09/03/2024,61909181.11
10/03/2024,60801399.94
11/03/2024,58942504.17
12/03/2024,62243745.17
13/03/2024,74174827.95
14/03/2024,70063967.59
15/03/2024,70536453.3
16/03/2024,66382314.48
17/03/2024,62991425.66
18/03/2024,64275183.18
19/03/2024,58186325.47
20/03/2024,54252440.07
21/03/2024,58689523.69
22/03/2024,56470476.7
23/03/2024,53036324.64
24/03/2024,53838842.26
25/03/2024,55876099.49
26/03/2024,59891317.13
27/03/2024,62144836.84
28/03/2024,60853389.63
29/03/2024,64636997.47
30/03/2024,62389891.92
31/03/2024,61827326.54
01/04/2024,63359093.46
02/04/2024,60087466.71
03/04/2024,58495995.29
04/04/2024,60053513.61
05/04/2024,59207366.0
06/04/2024,63067639.27
07/04/2024,64848238.43
08/04/2024,65790379.55
09/04/2024,67954477.88
10/04/2024,64055265.67
11/04/2024,63874340.81
12/04/2024,61843719.11
13/04/2024,52195796.16
14/04/2024,43646690.15
15/04/2024,48272388.74
16/04/2024,48594076.9
17/04/2024,50722947.86
18/04/2024,55719096.03
19/04/2024,57485169.83
20/04/2024,58488994.91
21/04/2024,60818274.64
22/04/2024,58835270.24
23/04/2024,59843083.12
24/04/2024,58898404.84
25/04/2024,56323090.38
26/04/2024,56825200.47
27/04/2024,54785189.43
28/04/2024,54930784.18
29/04/2024,56168555.46
30/04/2024,54072136.3
01/05/2024,50606568.69
02/05/2024,50418717.29
03/05/2024,50476292.67
04/05/2024,54361714.01
05/05/2024,53889209.73
06/05/2024,52737806.58
07/05/2024,56599266.15
08/05/2024,54824135.71
09/05/2024,51210056.98
10/05/2024,52724947.55
11/05/2024,55725678.85
12/05/2024,52591979.25
13/05/2024,51589047.39
14/05/2024,50004219.89
15/05/2024,47415326.47
16/05/2024,52161412.65
17/05/2024,51559578.71
18/05/2024,54996789.6
19/05/2024,55000398.96
20/05/2024,53610634.76
21/05/2024,61317197.23
22/05/2024,61002023.05
23/05/2024,60244362.92
24/05/2024,57162528.78
25/05/2024,56251821.84
26/05/2024,55852835.7
27/05/2024,55640902.32
28/05/2024,57871815.77
29/05/2024,58500706.97
30/05/2024,60009093.43
31/05/2024,56645610.08
01/06/2024,55243223.93
02/06/2024,55396170.27
03/06/2024,54614831.72
04/06/2024,56999514.45
05/06/2024,57548980.38
06/06/2024,61235826.49
07/06/2024,63135654.85
08/06/2024,63393531.14
09/06/2024,61992043.99
10/06/2024,63737480.23
11/06/2024,66408190.22
12/06/2024,62446818.89
13/06/2024,71059899.94
14/06/2024,66133220.74
15/06/2024,59797634.86
16/06/2024,59039678.34
17/06/2024,57494416.44
18/06/2024,49433986.47
19/06/2024,46105155.04
20/06/2024,48105936.74
21/06/2024,47481251.03
22/06/2024,48662471.35
23/06/2024,48012079.32
24/06/2024,46340528.35
25/06/2024,50887872.31
26/06/2024,51854047.73
27/06/2024,51435492.05
28/06/2024,51236614.41
29/06/2024,50457223.16
30/06/2024,49354846.17
01/07/2024,50432867.79
02/07/2024,49589902.83
03/07/2024,49578089.25
04/07/2024,46333329.0
05/07/2024,44569281.7
06/07/2024,40956699.59
07/07/2024,43662962.63
08/07/2024,40887234.12
09/07/2024,42274422.09
10/07/2024,44087647.28
11/07/2024,43917694.64
12/07/2024,42483622.18
13/07/2024,42256967.74
14/07/2024,43071556.64
15/07/2024,45656845.96
16/07/2024,48454572.96
17/07/2024,53372161.74
18/07/2024,56120128.6
19/07/2024,56528511.41
20/07/2024,56724578.37
21/07/2024,60280125.71
22/07/2024,60469377.2
23/07/2024,56490108.02
24/07/2024,52438277.09
25/07/2024,52846990.62
26/07/2024,52495419.68
27/07/2024,55709333.71
28/07/2024,55449157.43
29/07/2024,52552972.49
30/07/2024,53647316.38
31/07/2024,50593673.92
01/08/2024,48465209.87
02/08/2024,46909300.98
03/08/2024,42681673.54
04/08/2024,39918845.89
05/08/2024,38766354.74
06/08/2024,33432275.71
07/08/2024,35133686.84
08/08/2024,32281011.24
09/08/2024,35768028.68
10/08/2024,38352697.06
11/08/2024,41356469.89
12/08/2024,37926188.68
13/08/2024,38762933.96
14/08/2024,41595473.55
15/08/2024,40049533.22
16/08/2024,38787418.49
17/08/2024,38318382.31
18/08/2024,39665627.02
19/08/2024,39182707.93
