Name,Date,Category
Starknet,20/02/2024,TVL
Taiko,05/07/2024,TVL
ethena,02/04/2024,TVL
etherfi,18/03/2024,TVL
renzo,20/04/2024,TVL
eigenlayer,29/04/2024,TVL
kamino,04/04/2024,TVL
Manta,19/12/2023,TVL
nftperp,26/06/2024,TVL
parcl,16/04/2024,TVL
ekubo,08/05/2024,TVL
Arbitrum,23/03/2023,TVL
Optimism,20/02/2024,TVL
zeus,04/04/2024,TVL
wormhole,03/04/2024,TVL
Sei,09/07/2024,TVL
zkSync,17/06/2024,TVL
hydro,19/03/2024,TVL
zeta,27/06/2024,TVL
zircuit,05/08/2024,TVL
drift,01/05/2024,TVL
cellana,29/02/2024,TVL
Mode,07/05/2024,TVL
phaver,08/05/2024,DAU
Zora,06/03/2024,DAU
lens,10/03/2024,DAU
Izumi,06/02/2024,Volume
jupiter,31/01/2024,Volume
kyberswap,06/09/2023,Volume
